Country,Visa_Waiver,Other,Student_exchange_visitors,Temporary workers and families,Diplomats and other representatives,All other classes,Unknown
Kuwait,X,"39,371","18,892",226,"1,549",D,D
Kyrgyzstan,X,"3,595",782,65,354,121,38
Laos,X,"1,643",247,27,274,266,6
Latvia,"21,544","1,763","1,014",864,783,"1,253",6
Lebanon,X,"40,950","3,893","2,019","1,374",174,45
Lesotho,X,381,92,12,200,38,-
Liberia,X,"3,343",303,59,546,90,27
Libya,X,286,297,57,267,D,D
Liechtenstein,"1,890",48,43,70,57,-,-
Lithuania,"37,734","1,997","2,936","1,243",977,455,367
Luxembourg,"14,196",388,341,354,390,D,D
Macedonia,X,"8,550","2,091",329,525,802,10
Madagascar,X,"1,317",191,D,438,160,D
Malawi,X,"2,199",370,D,654,104,D
Malaysia,416,"89,896","10,037","5,598","1,543",824,56
Maldives,X,241,62,D,161,D,-
Mali,X,"3,658",357,158,560,37,17
Malta,"6,999",466,142,222,279,28,-
Marshall Islands,X,55,D,D,80,42,12
Mauritania,X,645,110,22,339,D,D
Mauritius,X,"5,091",551,206,295,"1,480",14
Mexico,X,"20,144,745","206,469","766,649","33,396","26,296","5,131"
"Micronesia, Federated States",X,106,D,-,141,D,120
Moldova,X,"8,117","1,014",426,572,201,10
Monaco,888,D,64,62,81,D,-
Mongolia,X,"12,191","2,829",385,666,123,8
Morocco11,X,"29,084","2,674",872,"2,252",290,76
Mozambique,X,"1,935",227,134,464,34,9
Namibia,X,"2,039",198,61,344,100,7
Nauru,28,40,D,-,79,D,-
Nepal,X,"26,819","6,613","1,565",935,711,90
Netherlands12,"812,905","22,199","13,511","28,684","10,593","2,388",290
New Zealand13,"345,102","12,541","6,553","7,746","2,948","1,475",306
Nicaragua,X,"73,513","1,163","1,603",666,"3,165",76
Niger,X,"1,207",191,28,468,10,5
Nigeria,X,"202,333","12,014","3,377","3,151",840,104
Norway,"276,912","8,033","8,466","6,520","5,489",611,31
Oman,X,"4,824","4,912",110,"1,000",D,D
Pakistan,X,"108,969","11,922","5,421","2,734",528,162
Palau,X,42,-,-,104,3,22
Panama,X,"151,989","6,025","1,645","1,743","2,306",140
Papua New Guinea,59,617,115,D,159,57,D
Paraguay,X,"32,732","1,880",390,991,109,25
Peru,X,"315,351","15,165","5,794","4,586","5,831",459
Philippines,X,"359,572","15,340","14,550","5,223","103,749",546
Poland,X,"234,233","11,675","9,497","3,846","5,651",150
Portugal,"205,780","5,627","4,219","7,037","1,931","1,853",53
Qatar,X,"12,529","2,358",29,"1,843",D,D
Romania,X,"93,131","9,739","4,886","2,095","7,868",79
Russia,X,"246,694","16,522","15,742","4,035","7,676",232
Rwanda,X,"4,133","1,838",149,778,55,10
Saint Kitts and Nevis,X,"12,191",435,105,164,36,5
Saint Lucia,X,"16,502",395,116,344,"1,448",9
Saint Vincent and the Grenadines,X,"10,616",142,38,213,"1,361",4
Samoa,X,"2,438",84,D,127,121,D
San Marino,746,D,11,7,D,-,-
Sao Tome and Principe,X,26,D,-,56,-,D
Saudi Arabia,X,"106,345","65,518","1,651","8,894",23,14
Senegal,X,"8,093",701,156,"1,388",83,17
Serbia and Montenegro (former),X,"15,482","2,149",570,434,"1,386",10
Seychelles,X,321,31,5,126,15,-
Sierra Leone,X,"2,730",197,24,483,85,8
Singapore,"138,013","2,454","10,906","9,419","4,713",491,198
Slovakia,"53,181","3,136","4,344","2,181",780,208,9
Slovenia,"27,019","1,403",969,976,470,D,D
Solomon Islands,X,178,28,D,80,28,D
Somalia,X,83,35,D,88,D,17
South Africa,X,"139,282","7,735","13,719","2,414","4,981",158
South Sudan,X,323,114,D,176,18,D
Spain,"1,080,300","25,256","43,573","52,704","8,896","2,451",251
Sri Lanka,X,"23,150","3,004","1,577","1,260","1,571",22
Sudan,X,"3,633",463,67,454,28,18
Suriname,X,"12,450",175,66,314,165,8
Sweden,"529,534","14,997","13,039","18,685","5,403",835,110
Switzerland,"403,095","15,881","10,366","11,896","3,356",658,71
Syria,X,"5,662",427,65,123,57,15
Taiwan,"442,622","26,659","48,328","20,239",63,"1,523",354
Tajikistan,X,"1,390",441,61,287,17,-
Tanzania,X,"6,387","1,060",232,739,113,4
Thailand,X,"96,732","22,149","2,993","3,047","2,811",51
Timor-Leste,X,53,34,-,121,4,-
Togo,X,"2,401",196,40,420,63,9
Tonga,X,"3,046",108,46,209,D,D
Trinidad and Tobago,X,"182,454","3,130","3,240","1,085","1,520",72
Tunisia,X,"10,898","1,520",596,"1,229",349,32
Turkey,X,"160,875","26,856","10,614","4,571","2,223",60
Turkmenistan,X,998,320,51,197,D,D
Tuvalu,X,43,7,-,109,27,3
Uganda,X,"10,537","1,249",820,"1,890",187,10
Ukraine,X,"99,414","6,285","8,889","1,720","12,850",81
United Arab Emirates,X,"31,313","5,247",56,"2,585",10,20
United Kingdom14,"4,635,480","240,735","56,614","174,787","38,720","13,599","2,154"
Uruguay,X,"85,708","1,242","1,572","1,553",271,217
Uzbekistan,X,"9,840","1,559",321,797,101,10
Vanuatu,X,108,15,5,92,13,-
Venezuela,X,"508,727","15,527","17,907","1,733","1,216",911
Vietnam,X,"104,773","25,456","2,783","1,728","2,484",136
Yemen,X,"1,071",433,68,267,13,16
Zambia,X,"4,222",583,143,852,D,D
Zimbabwe,X,"8,225","1,570",660,833,"1,098",10
